step 25600, train_loss 2.0555e+01, test_loss nan
step 25800, train_loss 1.4038e+01, test_loss nan
step 26000, train_loss 2.0235e+01, test_loss nan
step 26200, train_loss 2.1397e+01, test_loss nan
step 26400, train_loss 3.5222e+01, test_loss nan
step 26600, train_loss 2.1280e+01, test_loss nan
step 26800, train_loss 1.2956e+01, test_loss nan
step 27000, train_loss 1.5919e+01, test_loss nan
step 27200, train_loss 6.7579e+00, test_loss nan
step 27400, train_loss 5.5053e+00, test_loss nan
step 27600, train_loss 5.7873e+00, test_loss nan
step 27800, train_loss 3.3052e+00, test_loss nan
step 28000, train_loss 2.2484e+01, test_loss nan
step 28200, train_loss 5.7354e+00, test_loss nan
step 28400, train_loss 5.1367e+00, test_loss nan
step 28600, train_loss 1.0759e+01, test_loss nan
step 28800, train_loss 4.1441e+00, test_loss nan
step 29000, train_loss 1.7127e+01, test_loss nan
step 29200, train_loss 5.0573e+00, test_loss nan
step 29400, train_loss 2.4659e+00, test_loss nan
step 29600, train_loss 7.4452e+00, test_loss nan
step 29800, train_loss 6.8294e+00, test_loss nan
step 30000, train_loss 5.5560e+00, test_loss nan
step 30200, train_loss 6.1864e+00, test_loss nan
step 30400, train_loss 2.0943e+01, test_loss nan
step 30600, train_loss 5.5005e+01, test_loss nan
step 30800, train_loss 1.2094e+01, test_loss nan
step 31000, train_loss 9.3195e+00, test_loss nan
step 31200, train_loss 1.8145e+01, test_loss nan
step 31400, train_loss 2.7489e+00, test_loss nan
step 31600, train_loss 3.1403e+00, test_loss nan
step 31800, train_loss 1.6892e+00, test_loss nan
step 32000, train_loss 1.3812e+00, test_loss nan
step 32200, train_loss 1.7002e+00, test_loss nan
step 32400, train_loss 2.0929e+00, test_loss nan
step 32600, train_loss 4.6184e+00, test_loss nan
step 32800, train_loss 1.9771e+00, test_loss nan
step 33000, train_loss 7.6975e+00, test_loss nan
step 33200, train_loss 6.1048e+00, test_loss nan
step 33400, train_loss 3.5455e+00, test_loss nan
step 33600, train_loss 3.0086e+01, test_loss nan
step 33800, train_loss 5.1314e+00, test_loss nan
step 34000, train_loss 1.5809e+01, test_loss nan
step 34200, train_loss 5.5844e+00, test_loss nan
step 34400, train_loss 5.0968e+00, test_loss nan
step 34600, train_loss 6.6788e+00, test_loss nan
step 34800, train_loss 3.8455e+00, test_loss nan
step 35000, train_loss 5.7855e+00, test_loss nan
step 35200, train_loss 2.4853e+00, test_loss nan
step 35400, train_loss 2.3651e+01, test_loss nan
step 35600, train_loss 1.7607e+01, test_loss nan
step 35800, train_loss 1.1026e+01, test_loss nan
step 36000, train_loss 3.0205e+00, test_loss nan
step 36200, train_loss 2.4123e+00, test_loss nan
step 36400, train_loss 4.1998e+01, test_loss nan
step 36600, train_loss 2.2353e+01, test_loss nan
step 36800, train_loss 4.0200e+00, test_loss nan
step 37000, train_loss 3.2357e+00, test_loss nan
step 37200, train_loss 8.6133e+00, test_loss nan
step 37400, train_loss 3.1813e+00, test_loss nan
step 37600, train_loss 1.9343e+00, test_loss nan
step 37800, train_loss 2.3038e+00, test_loss nan
step 38000, train_loss 1.1604e+00, test_loss nan
step 38200, train_loss 1.3125e+01, test_loss nan
step 38400, train_loss 7.7600e+00, test_loss nan
step 38600, train_loss 1.3644e+01, test_loss nan
step 38800, train_loss 7.0734e+00, test_loss nan
