step 0, train_loss 6.3674e+01, test_loss nan
step 200, train_loss 2.4686e+01, test_loss nan
step 400, train_loss 1.6369e+01, test_loss nan
step 600, train_loss 1.3824e+01, test_loss nan
step 800, train_loss 7.9079e+00, test_loss nan
step 1000, train_loss 4.5060e+00, test_loss nan
step 1200, train_loss 2.0876e+00, test_loss nan
step 1400, train_loss 3.5516e+00, test_loss nan
step 1600, train_loss 8.6114e-01, test_loss nan
step 1800, train_loss 1.0419e+00, test_loss nan
step 2000, train_loss 8.4063e-01, test_loss nan
step 2200, train_loss 8.7254e-01, test_loss nan
step 2400, train_loss 4.6978e-01, test_loss nan
step 2600, train_loss 5.5385e-01, test_loss nan
step 2800, train_loss 4.5575e-01, test_loss nan
step 3000, train_loss 2.6757e-01, test_loss nan
step 3200, train_loss 5.0295e-01, test_loss nan
step 3400, train_loss 3.3096e-01, test_loss nan
step 3600, train_loss 1.1152e+00, test_loss nan
step 3800, train_loss 1.1282e+00, test_loss nan
step 4000, train_loss 5.9075e-01, test_loss nan
step 4200, train_loss 1.3548e-01, test_loss nan
step 4400, train_loss 8.9407e-01, test_loss nan
step 4600, train_loss 5.6420e-01, test_loss nan
step 4800, train_loss 5.2001e-01, test_loss nan
step 5000, train_loss 3.3545e-01, test_loss nan
step 5200, train_loss 7.0717e-02, test_loss nan
step 5400, train_loss 2.6942e+00, test_loss nan
step 5600, train_loss 3.3747e-01, test_loss nan
step 5800, train_loss 1.9601e-01, test_loss nan
step 6000, train_loss 5.6147e-02, test_loss nan
step 6200, train_loss 6.9836e-01, test_loss nan
step 6400, train_loss 1.8814e-01, test_loss nan
step 6600, train_loss 2.8346e-01, test_loss nan
step 6800, train_loss 1.1562e+00, test_loss nan
step 7000, train_loss 7.7760e-01, test_loss nan
step 7200, train_loss 4.8217e-01, test_loss nan
step 7400, train_loss 9.2169e-02, test_loss nan
step 7600, train_loss 1.0274e-01, test_loss nan
step 7800, train_loss 5.9384e-01, test_loss nan
step 8000, train_loss 2.2440e-01, test_loss nan
step 8200, train_loss 6.0498e-01, test_loss nan
step 8400, train_loss 1.7914e-01, test_loss nan
step 8600, train_loss 7.0993e-02, test_loss nan
step 8800, train_loss 4.7207e-02, test_loss nan
step 9000, train_loss 4.4876e-02, test_loss nan
step 9200, train_loss 8.5282e-02, test_loss nan
step 9400, train_loss 1.6782e+00, test_loss nan
step 9600, train_loss 4.9032e-02, test_loss nan
step 9800, train_loss 4.4128e-02, test_loss nan
step 10000, train_loss 1.6500e-01, test_loss nan
step 10200, train_loss 3.2902e-01, test_loss nan
step 10400, train_loss 1.4396e-01, test_loss nan
step 10600, train_loss 7.6209e-01, test_loss nan
step 10800, train_loss 7.0836e-01, test_loss nan
step 11000, train_loss 6.2950e-02, test_loss nan
step 11200, train_loss 4.2633e-01, test_loss nan
step 11400, train_loss 2.7892e-01, test_loss nan
step 11600, train_loss 1.2517e-01, test_loss nan
step 11800, train_loss 2.9905e-02, test_loss nan
step 12000, train_loss 4.5861e-01, test_loss nan
step 12200, train_loss 4.8402e-01, test_loss nan
step 12400, train_loss 7.7819e-02, test_loss nan
step 12600, train_loss 1.1661e-01, test_loss nan
step 12800, train_loss 1.1788e-01, test_loss nan
step 13000, train_loss 4.0250e-02, test_loss nan
step 13200, train_loss 3.9190e-02, test_loss nan
step 13400, train_loss 1.5100e-01, test_loss nan
step 13600, train_loss 7.9008e-02, test_loss nan
step 13800, train_loss 1.4598e-01, test_loss nan
step 14000, train_loss 6.8519e-02, test_loss nan
step 14200, train_loss 9.4036e-02, test_loss nan
step 14400, train_loss 1.7366e-01, test_loss nan
step 14600, train_loss 2.8461e-01, test_loss nan
step 14800, train_loss 7.6977e-02, test_loss nan
step 15000, train_loss 4.7663e-01, test_loss nan
step 15200, train_loss 1.4590e+00, test_loss nan
step 15400, train_loss 3.6128e-02, test_loss nan
step 15600, train_loss 1.8431e-01, test_loss nan
step 15800, train_loss 3.1442e+00, test_loss nan
step 16000, train_loss 4.2987e-01, test_loss nan
step 16200, train_loss 3.6183e-02, test_loss nan
step 16400, train_loss 4.4417e-01, test_loss nan
step 16600, train_loss 2.8834e-01, test_loss nan
step 16800, train_loss 3.2668e-02, test_loss nan
step 17000, train_loss 6.4809e-02, test_loss nan
step 17200, train_loss 4.0164e-01, test_loss nan
step 17400, train_loss 1.1887e-01, test_loss nan
step 17600, train_loss 1.1341e-01, test_loss nan
step 17800, train_loss 4.3622e-01, test_loss nan
step 18000, train_loss 4.7854e-02, test_loss nan
step 18200, train_loss 3.6716e-02, test_loss nan
step 18400, train_loss 2.4037e-02, test_loss nan
step 18600, train_loss 9.0983e-01, test_loss nan
step 18800, train_loss 5.2776e-02, test_loss nan
step 19000, train_loss 2.7978e-01, test_loss nan
step 19200, train_loss 1.1209e-01, test_loss nan
step 19400, train_loss 2.2128e-01, test_loss nan
step 19600, train_loss 1.2583e+00, test_loss nan
step 19800, train_loss 7.1816e-02, test_loss nan
step 20000, train_loss 3.8711e-02, test_loss nan
step 20200, train_loss 1.2926e-01, test_loss nan
step 20400, train_loss 1.9699e-01, test_loss nan
step 20600, train_loss 9.4816e-02, test_loss nan
step 20800, train_loss 4.1175e-01, test_loss nan
step 21000, train_loss 8.9715e-02, test_loss nan
step 21200, train_loss 3.6158e-01, test_loss nan
step 21400, train_loss 1.7870e+00, test_loss nan
step 21600, train_loss 1.6574e-01, test_loss nan
step 21800, train_loss 2.3551e-02, test_loss nan
step 22000, train_loss 8.6167e-02, test_loss nan
step 22200, train_loss 1.0822e-01, test_loss nan
step 22400, train_loss 2.9725e-02, test_loss nan
step 22600, train_loss 3.4252e-01, test_loss nan
step 22800, train_loss 3.0298e-02, test_loss nan
step 23000, train_loss 2.4368e+00, test_loss nan
step 23200, train_loss 2.6842e-02, test_loss nan
step 23400, train_loss 1.1044e-01, test_loss nan
step 23600, train_loss 3.7603e-02, test_loss nan
step 23800, train_loss 1.2869e-01, test_loss nan
step 24000, train_loss 2.1764e-02, test_loss nan
step 24200, train_loss 1.9308e-02, test_loss nan
step 24400, train_loss 2.5876e-01, test_loss nan
step 24600, train_loss 2.6133e+00, test_loss nan
step 24800, train_loss 2.9016e-02, test_loss nan
step 25000, train_loss 1.5141e-01, test_loss nan
step 25200, train_loss 2.5363e-02, test_loss nan
step 25400, train_loss 5.5725e-02, test_loss nan
step 25600, train_loss 7.7690e-01, test_loss nan
step 25800, train_loss 7.3143e-01, test_loss nan
step 26000, train_loss 3.1768e-02, test_loss nan
step 26200, train_loss 9.9661e-02, test_loss nan
step 26400, train_loss 3.1812e-02, test_loss nan
step 26600, train_loss 3.4174e-01, test_loss nan
step 26800, train_loss 2.1204e+00, test_loss nan
step 27000, train_loss 2.6960e-02, test_loss nan
step 27200, train_loss 2.8099e-01, test_loss nan
step 27400, train_loss 3.8418e-02, test_loss nan
step 27600, train_loss 4.7033e-02, test_loss nan
step 27800, train_loss 2.6747e-01, test_loss nan
step 28000, train_loss 3.4033e-02, test_loss nan
step 28200, train_loss 4.5540e-01, test_loss nan
step 28400, train_loss 3.5398e+00, test_loss nan
step 28600, train_loss 3.8390e-02, test_loss nan
step 28800, train_loss 6.8867e-02, test_loss nan
step 29000, train_loss 1.1544e-01, test_loss nan
step 29200, train_loss 3.1259e-02, test_loss nan
step 29400, train_loss 5.7727e-01, test_loss nan
step 29600, train_loss 2.1931e-02, test_loss nan
step 29800, train_loss 4.0304e-02, test_loss nan
step 30000, train_loss 1.8654e-02, test_loss nan
step 30200, train_loss 9.9052e-02, test_loss nan
step 30400, train_loss 1.8079e-02, test_loss nan
step 30600, train_loss 7.8876e-02, test_loss nan
step 30800, train_loss 1.9418e-01, test_loss nan
step 31000, train_loss 2.7944e-01, test_loss nan
step 31200, train_loss 2.8010e-02, test_loss nan
step 31400, train_loss 1.1479e-01, test_loss nan
step 31600, train_loss 2.5700e-02, test_loss nan
step 31800, train_loss 9.7045e-02, test_loss nan
step 32000, train_loss 4.3246e-01, test_loss nan
step 32200, train_loss 3.9940e-01, test_loss nan
step 32400, train_loss 8.7863e-02, test_loss nan
step 32600, train_loss 2.9927e-02, test_loss nan
step 32800, train_loss 1.2132e-01, test_loss nan
step 33000, train_loss 2.5416e-02, test_loss nan
step 33200, train_loss 3.7991e-02, test_loss nan
step 33400, train_loss 4.2485e-02, test_loss nan
step 33600, train_loss 7.0884e-01, test_loss nan
